id,name_kor,description_kor,elements,partnerSkill_name,partnerSkill_describe,partnerSkill_needItem,partnerSkill_needItemTechLevel,partnerSkill_level,stats_size,stats_rarity,stats_health,stats_food,stats_meleeAttack,stats_attack,stats_defense,stats_workSpeed,stats_support,stats_captureRateCorrect,stats_maleProbability,stats_combiRank,stats_goldCoin,stats_egg,stats_code,movement_slowWalkSpeed,movement_walkSpeed,movement_runSpeed,movement_rideSprintSpeed,movement_transportSpeed,level60_health,level60_attack,level60_defense,activeSkills,activeSkills_count,passiveSkills,passiveSkills_count,drops,drops_count,workSuitabilities,workSuitabilities_count,tribes,tribes_count,spawners,spawners_count
17,뚱코알라,눈빛이 안 좋아 친구는 적지만 마음은 따뜻하다. 무리와 떨어진 미호에게 먹이를 나눠주는 모습이 목격되고 있다.,어둠,카페인 수혈,발동하면 뚱코알라가 자양강장제를 대량 섭취하여 일정 시간 뚱코알라의 이동 속도가 크게 증가한다.,,0,1,XS,1,70,150,70,70,70,100,100,1.0,50,1380,1050,암흑의 알,NegativeKoala,20,20,300,400,100,3100-3782,441-543,391-493,"Lv.1 독 사격(어둠 속성, 30파워, 2초) | Lv.7 모래 돌풍(땅 속성, 40파워, 4초) | Lv.15 암흑구(어둠 속성, 40파워, 4초) | Lv.22 얼음 미사일(얼음 속성, 30파워, 3초) | Lv.30 그림자 폭발(어둠 속성, 55파워, 10초) | Lv.40 악몽의 구체(어둠 속성, 100파워, 30초) | Lv.50 어둠의 레이저(어둠 속성, 150파워, 55초)",7,,0,"독샘(2-3, 100%)",1,수작업(LV.1) | 채굴(LV.1) | 운반(LV.1),3,3일 밤을 뜬 눈으로 지샌 뚱코알라 | 뚱코알라,2,"뚱코알라(Lv. 3-6, 1_2_plain_grass) | 뚱코알라(Lv. 3-6, 1_3_plain_kitsunbi) | 뚱코알라(Lv. 3-6, 1_4_plain_fox) | 뚱코알라(Lv. 3-7, 1_5_plain_pachiguri) | 뚱코알라(Lv. 3-7, 1_3_water) | 뚱코알라(Lv. 8-12, 1_6_plain_Kirin) | 뚱코알라(Lv. 13-14, 1_7_plain_Pekodon) | 뚱코알라(Lv. 3-7, PvP_21_1_1) | 뚱코알라(Lv. 4-6, PvP_21_2_1) | 3일 밤을 뜬 눈으로 지샌 뚱코알라(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 뚱코알라(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 뚱코알라(Lv. 40-45, sakurajima_6_4_Grave) | 뚱코알라(암흑의 알, Sakurajima_grade_01) | 뚱코알라(Lv. 30-35, Captured Cage: Sakurajima1) | 뚱코알라(Lv. 50-50, 습격 25-99)",15
18,밀피,도로롱보다 털의 품질이 좋고 도로롱보다 가축으로 삼기 좋은 성격이다. 하지만 역사적으로는 항상 애완용 팰로 사육되어 왔다. 역시 귀여운 게 최고다.,무속성,푹신푹신 양털,보유하고 있는 동안 무속성 팰의 공격력이 증가한다. 가축 목장에 배치하면 양털을 떨어뜨리기도 한다.,,0,1,XS,1,70,150,100,70,75,100,100,1.3,50,1455,1420,평범한 알,WoolFox,20,40,300,450,170,3100-3782,441-543,415-525,"Lv.1 공기 대포(무속성, 25파워, 2초) | Lv.7 모래 돌풍(땅 속성, 40파워, 4초) | Lv.15 스파크 샷(번개 속성, 30파워, 2초) | Lv.22 파워 샷(무속성, 35파워, 4초) | Lv.30 전기 파장(번개 속성, 40파워, 4초) | Lv.40 파워 폭탄(무속성, 70파워, 15초) | Lv.50 전기 볼트(번개 속성, 150파워, 55초)",7,,0,"양털(1-2, 100%)",1,채집(LV.1) | 목장(LV.1),2,너무나 사랑스러운 털 뭉치 밀피 | 밀피,2,"밀피(Lv. 2-4, 1_3_plain_kitsunbi) | 밀피(Lv. 2-4, 1_4_plain_fox) | 밀피(Lv. 12-14, 1_15_plain_mopking) | 밀피(Lv. 2-5, PvP_21_1_1) | 너무나 사랑스러운 털 뭉치 밀피(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 밀피(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴)",6
19,몽마둥이,마음에 드는 상대를 깊은 잠에 빠뜨려 행복한 꿈을 꾸게 해준다. 죽을 때까지 잠에서 깰 일은 절대 없다.,어둠,꿈빛 체이서,보유하고 있는 동안 플레이어 가까이에 출현한다. 플레이어의 공격에 맞춰 마탄으로 추격한다.,몽마둥이의 목걸이,8,1,XS,1,70,225,100,75,60,100,100,1.0,50,1230,1330,암흑의 알,DreamDemon,70,140,300,550,220,3100-3782,465-575,342-430,"Lv.1 암흑구(어둠 속성, 40파워, 4초) | Lv.7 독 사격(어둠 속성, 30파워, 2초) | Lv.15 그림자 폭발(어둠 속성, 55파워, 10초) | Lv.22 서리 낀 입김(얼음 속성, 90파워, 22초) | Lv.30 유령의 불꽃(어둠 속성, 75파워, 16초) | Lv.40 악몽의 구체(어둠 속성, 100파워, 30초) | Lv.50 어둠의 레이저(어둠 속성, 150파워, 55초)",7,,0,"독샘(1, 100%) | 작은 팰 영혼(1, 1%)",2,수작업(LV.1) | 채집(LV.1) | 운반(LV.1),3,꿈 포식자 몽마둥이 | 몽마둥이,2,"몽마둥이(Lv. 4-7, 1_1_plain_begginer) | 몽마둥이(Lv. 3-6, 1_3_plain_kitsunbi) | 몽마둥이(Lv. 3-6, 1_4_plain_fox) | 몽마둥이(Lv. 3-7, 1_5_plain_pachiguri) | 몽마둥이(Lv. 4-6, PvP_21_2_1) | 몽마둥이(Lv. 5-10, 구릉 동굴, 외딴 섬의 동굴) | 꿈 포식자 몽마둥이(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 몽마둥이(Lv. 12-15, 계곡의 동굴) | 몽마둥이(Lv. 5-10, 구릉 동굴) | 몽마둥이(암흑의 알, grass_grade_01)",10
20,돌진돼지,"굉장히 호전적으로 힘 차이를 계산한 뒤 상대에게 달려든다. 몸집이 작은 팰이지만, 무시무시한 돌진력은 큰 바위도 날릴 기세다.",땅,돌대가리,등에 타고 이동할 수 있다. 탑승 중 바위 파괴 효율이 향상된다.,돌진돼지의 안장,6,1,S,1,80,225,100,70,70,100,100,1.0,50,1130,1680,거친 느낌의 알,Boar,70,150,500,800,300,3425-4205,441-543,391-493,"Lv.1 멧돼지 돌진(무속성, 55파워, 2초) | Lv.7 모래 돌풍(땅 속성, 40파워, 4초) | Lv.15 파워 샷(무속성, 35파워, 4초) | Lv.22 바위 폭발(땅 속성, 55파워, 10초) | Lv.30 파워 폭탄(무속성, 70파워, 15초) | Lv.40 바위 창(땅 속성, 150파워, 55초) | Lv.50 팰 폭발(무속성, 150파워, 55초)",7,,0,"돌진돼지의 살코기(1-2, 100%) | 가죽(1, 100%) | 뼈(1, 100%)",3,채굴(LV.1),1,숲의 무법자 돌진돼지 | 돌진돼지,2,"돌진돼지(Lv. 3-6, 1_4_plain_fox) | 돌진돼지(Lv. 2-5, PvP_21_1_1) | 돌진돼지(Lv. 2-5, PvP_21_2_1) | 숲의 무법자 돌진돼지(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 돌진돼지(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 돌진돼지(Lv. 15-25, Captured Cage: Forest1)",6
21,루나티,밤길에 루나티의 털을 발견했다면 줍지 말고 그대로 두는 게 좋다. 그 털은 밝지 않는 밤으로 향하는 편도 티켓이다.,어둠,쿨한 새침데기,함께 싸우는 동안 플레이어의 공격이 어둠 속성으로 변화한다.,,0,1,XS,6,75,150,70,85,70,100,140,1.0,50,1180,1480,암흑의 대형 알,NightFox,30,60,300,500,164,3262-3993,514-638,391-493,"Lv.1 공기 대포(무속성, 25파워, 2초) | Lv.7 암흑구(어둠 속성, 40파워, 4초) | Lv.15 그림자 폭발(어둠 속성, 55파워, 10초) | Lv.22 파워 폭탄(무속성, 70파워, 15초) | Lv.30 유령의 불꽃(어둠 속성, 75파워, 16초) | Lv.40 악몽의 구체(어둠 속성, 100파워, 30초) | Lv.50 어둠의 레이저(어둠 속성, 150파워, 55초)",7,,0,"가죽(1, 100%) | 작은 팰 영혼(1, 40%)",2,채집(LV.1),1,밤의 귀공자 루나티 | 루나티,2,"루나티(Lv. 5-7, 1_1_plain_begginer) | 루나티(Lv. 5-7, 1_2_plain_grass) | 루나티(Lv. 5-6, 1_3_plain_kitsunbi) | 루나티(Lv. 5-6, 1_4_plain_fox) | 루나티(Lv. 11-12, 1_5_plain_pachiguri) | 루나티(Lv. 3-7, PvP_21_1_1) | 루나티(Lv. 3-7, PvP_21_2_1) | 루나티(Lv. 12-15, 계곡의 동굴) | 밤의 귀공자 루나티(Lv. 17-19, 계곡의 동굴) | 루나티(암흑의 대형 알, grass_grade_01) | 루나티(Lv. 1-10, Captured Cage: Grass) | 루나티(Lv. 10-20, Captured Cage: Grass2) | 루나티(Lv. 15-25, Captured Cage: Forest1)",13
22,두더비,커다란 발톱은 다이아몬드처럼 단단하지만 발톱 손질에 힘을 너무 쏟은 나머지 그대로 지쳐 하루를 마감하기도 한다.,땅,광석 탐지,발동하면 미세한 진동을 발신해 가까이 있는 광석의 위치를 탐지할 수 있다.,,0,1,XS,1,65,150,100,80,50,100,100,1.0,50,1220,1360,거친 느낌의 알,CuteMole,30,60,300,550,240,2937-3571,490-607,293-366,"Lv.1 모래 돌풍(땅 속성, 40파워, 4초) | Lv.7 파워 샷(무속성, 35파워, 4초) | Lv.15 바위 폭발(땅 속성, 55파워, 10초) | Lv.22 바위 대포(땅 속성, 70파워, 15초) | Lv.30 파워 폭탄(무속성, 70파워, 15초) | Lv.40 모래 폭풍(땅 속성, 80파워, 18초) | Lv.50 바위 창(땅 속성, 150파워, 55초)",7,,0,"가죽(1-2, 100%)",1,수작업(LV.1) | 채굴(LV.1) | 운반(LV.1),3,땅속의 탐구자 두더비 | 두더비,2,"두더비(Lv. 14-17, 1_8_plain_dessert) | 두더비(Lv. 24-30, 4_2_dessert_1) | 두더비(Lv. 5-10, 구릉 동굴, 외딴 섬의 동굴) | 땅속의 탐구자 두더비(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 두더비(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 두더비(Lv. 12-15, 계곡의 동굴) | 두더비(Lv. 30-34, 화산 동굴) | 땅속의 탐구자 두더비(Lv. 37-40, 모래 언덕 동굴, 화산 동굴) | 두더비(Lv. 33-36, 모래 언덕 동굴, 화산 동굴) | 두더비(Lv. 5-10, 구릉 동굴) | 두더비(거친 느낌의 알, grass_grade_01) | 두더비(거친 느낌의 알, desert_grade_01) | 두더비(Lv. 1-10, Captured Cage: Grass) | 두더비(Lv. 20-30, Captured Cage: Desert1)",14
23,고스문,적에 머리에 달라붙어 내용물을 쪽쪽 빨아먹는다. 팰의 미라가 드물게 발견되는데 대개 고스문에게 희생된 팰이다.,"어둠, 물",오징어튀김,보유하고 있는 동안 글라이더의 성능이 변화한다. 활공 중 느린 속도로 장시간 이동이 가능해진다.,고스문의 장갑,9,1,XS,1,60,225,100,60,70,100,100,1.0,50,1290,1200,암흑의 알,NegativeOctopus,60,120,400,550,260,2775-3360,392-480,391-493,"Lv.1 워터 제트(물 속성, 30파워, 2초) | Lv.7 독 사격(어둠 속성, 30파워, 2초) | Lv.15 암흑구(어둠 속성, 40파워, 4초) | Lv.22 그림자 폭발(어둠 속성, 55파워, 10초) | Lv.30 산성비(물 속성, 80파워, 18초) | Lv.40 악몽의 구체(어둠 속성, 100파워, 30초) | Lv.50 어둠의 레이저(어둠 속성, 150파워, 55초)",7,,0,"독샘(2-4, 100%) | 고스문의 촉수(1, 50%)",2,관개(LV.1) | 채집(LV.1) | 운반(LV.2),3,어떤 감정도 없는 고스문 | 고스문,2,"고스문(Lv. 5-10, 구릉 동굴, 외딴 섬의 동굴) | 어떤 감정도 없는 고스문(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 고스문(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 고스문(Lv. 5-10, 구릉 동굴) | 고스문(Lv. 11-18, 낚시터 Small 9.89%)",5
24,냐옹테트,단단한 꼬리 조직은 잘라도 그대로이다. 그 꼬리가 재물을 불러온다는 미신이 성행해 대량의 냐옹테트가 목숨을 잃었다.,어둠,금화 수집,가축 목장에 배치하면 지면에서 금화를 파내기도 한다.,,0,1,XS,1,70,100,70,60,70,100,100,1.0,50,1480,1000,암흑의 알,Bastet,52,105,475,550,317,3100-3782,392-480,391-493,"Lv.1 모래 돌풍(땅 속성, 40파워, 4초) | Lv.7 암흑구(어둠 속성, 40파워, 4초) | Lv.15 그림자 폭발(어둠 속성, 55파워, 10초) | Lv.22 모래 폭풍(땅 속성, 80파워, 18초) | Lv.30 유령의 불꽃(어둠 속성, 75파워, 16초) | Lv.40 악몽의 구체(어둠 속성, 100파워, 30초) | Lv.50 어둠의 레이저(어둠 속성, 150파워, 55초)",7,,0,"금화(100-200, 50%)",1,목장(LV.1),1,고귀한 광채의 냐옹테트 | 냐옹테트 | 칠테트,3,"냐옹테트(Lv. 5-10, 구릉 동굴, 외딴 섬의 동굴) | 고귀한 광채의 냐옹테트(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 냐옹테트(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 냐옹테트(Lv. 12-15, 계곡의 동굴) | 냐옹테트(Lv. 5-10, 구릉 동굴) | 냐옹테트(암흑의 알, grass_grade_02) | 냐옹테트(Lv. 15-25, Captured Cage: Forest1)",7
25,루미카이트,바람을 타고 자유로이 여행한다. 도착한 곳에서 파트너를 발견하면 이들의 여행도 끝이 난다.,물,실바람 글라이더,보유하고 있는 동안 글라이더의 성능이 변화한다. 활공 중 빠른 속도로 장시간 이동이 가능해진다.,루미카이트의 장갑,7,1,M,3,80,225,100,70,80,100,100,1.1,50,870,2860,축축한 알,FlyingManta,30,150,550,700,350,3425-4205,441-543,440-557,"Lv.1 워터 제트(물 속성, 30파워, 2초) | Lv.7 아쿠아 샷(물 속성, 40파워, 4초) | Lv.15 파워 샷(무속성, 35파워, 4초) | Lv.22 버블 샷(물 속성, 65파워, 13초) | Lv.30 씨앗 기관총(풀 속성, 50파워, 9초) | Lv.40 물폭탄(물 속성, 100파워, 30초) | Lv.50 하이드로 스트림(물 속성, 150파워, 55초)",7,,0,"팰의 체액(1-2, 100%)",1,관개(LV.1) | 운반(LV.1),2,하늘을 헤엄치는 물고기 루미카이트 | 루미카이트,2,"루미카이트(Lv. 2-4, 1_3_water) | 루미카이트(Lv. 9-12, 1_11_plain_Kelpee) | 하늘을 헤엄치는 물고기 루미카이트(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 루미카이트(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 루미카이트(축축한 알, grass_grade_02) | 루미카이트(축축한 알, grass_grade_01) | 루미카이트(Lv. 11-18, 낚시터 Small 9.89%)",7
26,다크울프,인간과 접촉이 뜸해진 지 오래지만 다크울프 무리의 수렵 체계는 일찍이 인간과 함께했던 사냥이 그 뿌리다.,무속성,질주 본능,등에 타고 이동할 수 있다. 탑승 중의 이동 속도가 조금 빠른 것이 특징이다.,다크울프의 마구,9,1,S,2,80,225,110,90,75,100,100,1.0,50,1060,1920,평범한 알,Garm,90,180,800,1050,460,3425-4205,538-670,415-525,"Lv.1 와일드 팽(무속성, 45파워, 2초) | Lv.7 모래 돌풍(땅 속성, 40파워, 4초) | Lv.15 공기 대포(무속성, 25파워, 2초) | Lv.22 파워 샷(무속성, 35파워, 4초) | Lv.30 파이어 샷(화염 속성, 30파워, 2초) | Lv.40 파워 폭탄(무속성, 70파워, 15초) | Lv.50 팰 폭발(무속성, 150파워, 55초)",7,,0,"가죽(1-2, 100%) | 루비(1, 3%) | 금화(10-20, 3%)",3,채집(LV.1),1,초원의 사냥꾼 다크울프 | 다크울프 | 광폭화한 다크울프,3,"다크울프(Lv. 5-10, 1_5_plain_pachiguri) | 다크울프(Lv. 10-15, 1_9_plain_SweetsSheep) | 다크울프(Lv. 12-14, 1_15_plain_mopking) | 다크울프(Lv. 4-7, PvP_21_1_1) | 다크울프(Lv. 4-7, PvP_21_2_1) | 초원의 사냥꾼 다크울프(Lv. 10-13, 구릉 동굴, 외딴 섬의 동굴) | 다크울프(Lv. 6-9, 구릉 동굴, 외딴 섬의 동굴) | 다크울프(평범한 알, grass_grade_01) | 다크울프(Lv. 3-3, 습격 6-9)",9
27,알록새,폭발하는 알을 낳는 공포의 팰. 보통 엉덩이에서 발사하는 알을 무기로 삼지만 궁지에 몰리면 자기 몸까지 터뜨린다.,무속성,알 폭탄 발사기,발동하면 폭발하는 알을 낳는 발사기로 변하여 플레이어에게 장착된다.,기술18,18,1,S,1,60,150,80,75,70,100,70,1,50,1340,1090,평범한 알,ColorfulBird,30,60,300,550,170,2775 – 3360,465 – 575,391 – 493,"자폭(무속성, 230파워, 55초) | 공기 대포(무속성, 25파워, 2초) | 파워 샷(무속성, 35파워, 4초) | 메가톤 자폭(무속성, 500파워, 55초) | 모래 폭풍(땅 속성, 80파워, 18초) | 파워 폭탄(무속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",7,,0,"화약(1, 100%) | 알록새 날개(1, 50%)",2,채집(LV.1),1,폭발이야말로 내 운명 알록새 | 알록새,2,알록새(Lv. 11–14) | 알록새(Lv. 25–29) | 폭발이야말로 내 운명 알록새(Lv. 17–19),3
28,토푸리,식물이 많은 곳을 좋아하지만 최근 토푸리 무리에게 꽃가루 알레르기가 유행하는 듯하다.,풀 속성,도우미 토끼,보유하고 있는 동안 플레이어 가까이에 출현한다. 자동으로 가까이 있는 아이템을 주우러 간다.,기술17,17,1,XS,1,75,225,100,65,70,100,100,1,50,1280,1220,신록의 알,FlowerRabbit,100,100,400,550,250,3262 – 3993,416 – 511,391 – 493,"바람의 칼날(풀 속성, 30파워, 2초) | 공기 대포(무속성, 25파워, 2초) | 워터 제트(물 속성, 30파워, 2초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 버블 샷(물 속성, 65파워, 13초) | 초록 폭풍(풀 속성, 80파워, 18초) | 태양 폭발(풀 속성, 150파워, 55초)",7,,0,"하급 의약품(1, 20%) | 밀 씨(1, 100%) | 감자 종자(1, 50%)",3,파종(LV.1) | 수작업(LV.1) | 채집(LV.1) | 제약(LV.1) | 운반(LV.1),5,꽃밭의 아이돌 토푸리 | 토푸리,2,토푸리(Lv. 15–16) | 꽃밭의 아이돌 토푸리(Lv. 27–29),2
29,밀카우,대충 풀어놓기만 해도 수도꼭지처럼 우유가 쏟아진다. 수컷도 우유가 나온다. 그야말로 생명의 신비다.,무속성,우유 생산,가축 목장에 배치하면 가끔씩 우유을(를) 생산하기도 한다.,,0,1,S,2,90,225,100,50,80,100,100,1,20,910,2620,평범한 알,CowPal,55,55,580,700,317,3750 – 4627,343 – 416,440 – 557,"파워 샷(무속성, 35파워, 4초) | 모래 돌풍(땅 속성, 40파워, 4초) | 공기 대포(무속성, 25파워, 2초) | 바위 폭발(땅 속성, 55파워, 10초) | 바위 대포(땅 속성, 70파워, 15초) | 파워 폭탄(무속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",7,,0,"밀카우의 살코기(2–3, 100%) | 우유(1, 100%)",2,목장(LV.1),1,A++등급 한우 밀카우 | 밀카우,2,밀카우(Lv. 10–13) | A++등급 한우 밀카우(Lv. 17–19),2
30,가시공주,가시엔 독이 있어 찔리면 위험하다. 귀요비 하고 사이 좋게 꿀을 빨 때만큼은 얼굴이 밝아진다.,풀 속성,공주님의 시선,보유하고 있는 동안 풀 속성 팰의 공격력이 증가한다.,,0,1,S,1,80,350,80,80,80,100,100,1,50,1320,1140,신록의 알,LittleBriarRose,50,100,400,550,250,3425 – 4205,490 – 607,440 – 557,"바람의 칼날(풀 속성, 30파워, 2초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 얼음 미사일(얼음 속성, 30파워, 3초) | 초록 폭풍(풀 속성, 80파워, 18초) | 빙산(얼음 속성, 70파워, 15초) | 가시덩굴(풀 속성, 95파워, 25초) | 태양 폭발(풀 속성, 150파워, 55초)",7,,0,"밀 씨(1–2, 100%) | 양상추 씨(1, 50%) | 당근 씨(1, 50%)",3,파종(LV.1) | 수작업(LV.1) | 채집(LV.1) | 제약(LV.2) | 운반(LV.1),5,가시나무의 꽃 가시공주 | 가시공주,2,가시공주(Lv. 16–17) | 가시나무의 꽃 가시공주(Lv. 27–29),2
31,샤키드,먼 옛날엔 거대하고 강력한 수생 팰이었지만 육상에 적응하면서 소형화됐다. 공격받으면 화를 낸다.,물 속성,삐돌이 상어,아쿠아 샷으로 공격한다. 탑승하면 플레이어의 공격력이 증가한다.,,0,1,M,1,70,200,80,80,70,100,70,1,50,1300,1180,푸른 알,Shark,50,100,450,600,300,3100 – 3782,490 – 607,391 – 493,"아쿠아 제트(물 속성, 40파워, 4초) | 워터 제트(물 속성, 30파워, 2초) | 공기 대포(무속성, 25파워, 2초) | 버블 샷(물 속성, 65파워, 13초) | 하이드로 레이저(물 속성, 105파워, 22초) | 파워 폭탄(무속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",7,,0,"샤키드 지느러미(1, 100%)",1,급수(LV.2) | 수작업(LV.1) | 운반(LV.1),3,샤키드,1,샤키드(Lv. 16–19),1
32,건다리,거대한 팔은 강철도 찢어버릴 정도다. 높은 곳에서 떨어져도 팔 힘만으로 안전하게 착지한다.,땅 속성,하늘 그네,탑승하면 글라이더의 성능이 변한다. 상승 기류를 탈 수 있게 된다.,,0,1,L,2,110,300,100,90,80,100,70,1,50,1400,2100,암석의 알,GorillaBeast,50,100,350,500,200,4537 – 5572,563 – 694,440 – 557,"스톤 샷(땅 속성, 35파워, 4초) | 모래 돌풍(땅 속성, 40파워, 4초) | 공기 대포(무속성, 25파워, 2초) | 바위 폭발(땅 속성, 55파워, 10초) | 바위 대포(땅 속성, 70파워, 15초) | 샌드 토네이도(땅 속성, 80파워, 18초) | 지진(땅 속성, 150파워, 55초)",7,,0,"건다리의 털가죽(1, 100%)",1,수작업(LV.1) | 벌목(LV.2) | 운반(LV.2),3,건다리,1,건다리(Lv. 20–23),1
33,초판다,"믿기 힘든 괴력의 소유자. 한 번에 3,000장의 종이를 찢을 수 있다고 한다.",풀 속성,척탄 판다,탑승 가능. 탑승하면 수류탄 발사기로 공격할 수 있다.,,0,1,L,3,130,400,130,100,100,100,70,1,50,1500,3200,신록의 알,GrassPanda,50,100,400,550,250,5425 – 6662,612 – 758,538 – 683,"바람의 칼날(풀 속성, 30파워, 2초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 공기 대포(무속성, 25파워, 2초) | 초록 폭풍(풀 속성, 80파워, 18초) | 가시덩굴(풀 속성, 95파워, 25초) | 파워 폭탄(무속성, 70파워, 15초) | 태양 폭발(풀 속성, 150파워, 55초)",7,,0,"대나무(1, 100%)",1,수작업(LV.1) | 벌목(LV.2) | 운반(LV.2),3,초판다,1,초판다(Lv. 24–27),1
34,캔디쉽,"전신이 설탕보다 18,000배나 달다. 혀로 핥으면 당분 과다로 기절할지도 모른다.",무속성,캔디 팝,목장에 배치하면 솜사탕을 생산한다.,,0,1,S,1,70,200,80,70,70,100,100,1,50,1200,1500,평범한 알,SweetsSheep,40,80,350,500,200,3100 – 3782,441 – 543,391 – 493,"파워 샷(무속성, 35파워, 4초) | 공기 대포(무속성, 25파워, 2초) | 버블 샷(물 속성, 65파워, 13초) | 파워 폭탄(무속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",5,,0,"솜사탕(1, 100%)",1,목장(LV.1),1,캔디쉽,1,캔디쉽(Lv. 12–15),1
35,베리고트,열매가 달린 뿔이 특징. 열매가 떨어지면 우울해한다.,풀 속성,열매 채집,보유하고 있는 동안 가끔 베리를 떨어뜨린다.,,0,1,M,2,80,250,90,75,75,100,100,1,50,1350,1800,신록의 알,BerryGoat,40,80,350,500,200,3425 – 4205,465 – 575,416 – 525,"바람의 칼날(풀 속성, 30파워, 2초) | 공기 대포(무속성, 25파워, 2초) | 씨앗 기관총(풀 속성, 50파워, 9초) | 초록 폭풍(풀 속성, 80파워, 18초) | 태양 폭발(풀 속성, 150파워, 55초)",5,,0,"베리(1, 100%) | 베리고트의 털(1, 50%)",2,파종(LV.1) | 채집(LV.1) | 목장(LV.1),3,베리고트,1,베리고트(Lv. 14–17),1
36,멜파카,털이 매우 부드럽다. 한번 만져보면 푹신한 감촉에 빠져나올 수 없다.,무속성,털파카파카,목장에 배치하면 양털을 생산한다.,,0,1,L,2,100,300,110,80,90,100,100,1,30,1450,2400,평범한 알,Alpaca,40,80,300,450,180,4212 – 5162,490 – 607,489 – 620,"파워 샷(무속성, 35파워, 4초) | 공기 대포(무속성, 25파워, 2초) | 파워 폭탄(무속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",4,,0,"양털(1–3, 100%)",1,목장(LV.1),1,멜파카,1,멜파카(Lv. 18–21),1
37,신령사슴,깊은 숲의 수호자. 자연을 파괴하는 자에게는 용서가 없다.,무속성,숲의 수호자,탑승 가능. 탑승하면 플레이어의 공격력이 증가한다.,,0,1,L,3,120,350,120,95,95,100,70,1,50,1600,3000,평범한 알,Deer,50,100,500,650,300,4900 – 6018,588 – 728,489 – 620,"파워 샷(무속성, 35파워, 4초) | 공기 대포(무속성, 25파워, 2초) | 스피릿 플레임(무속성, 75파워, 16초) | 파워 폭탄(무속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",5,,0,"신령사슴의 뿔(1, 100%)",1,벌목(LV.1),1,신령사슴,1,신령사슴(Lv. 22–25),1
38,나이트윙,밤하늘을 우아하게 나는 팰. 달빛 아래에서만 볼 수 있다고 한다.,무속성,여행의 동반자,탑승 가능. 탑승하면 이동 속도가 크게 증가한다.,,0,1,L,3,110,300,100,90,80,100,70,1,50,1550,2800,평범한 알,Eagle,50,100,400,800,500,4537 – 5572,563 – 694,440 – 557,"에어 캐논(무속성, 25파워, 2초) | 파워 샷(무속성, 35파워, 4초) | 윈드 블래스트(무속성, 55파워, 10초) | 파워 폭탄(무속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",5,,0,"나이트윙의 깃털(1, 100%)",1,,0,나이트윙,1,나이트윙(Lv. 26–29),1
39,핑토,항상 방긋방긋 웃는 얼굴로 지낸다. 가끔 까부냥의 장난으로 촉수가 묶이기도 한다. 그리고 그때만큼은 귀신의 형상으로 변하게 된다고 한다.,무속성,야무진 손재주,보유하고 있는 동안 무속성 팰의 공격력이 증가한다. 핑토가 무기 제작대나 무기 공장 등에서 일할 때 작업 효율이 향상된다.,,0,1,XS,1,75,150,100,65,70,100,100,1,50,1310,1160,평범한 알,PinkRabbit,50,100,245,350,172,3262–3993,416–511,391–493,"공기 대포(무속성, 25파워, 2초) | 파워 샷(무속성, 35파워, 4초) | 얼음 미사일(얼음 속성, 30파워, 3초) | 눈보라 스파이크(얼음 속성, 130파워, 45초) | 파워 폭탄(무속성, 70파워, 15초) | 빙산(얼음 속성, 70파워, 15초) | 팰 폭발(무속성, 150파워, 55초)",7,,0,"가죽(1, 100%) | 예쁜 꽃(1, 5%) | 핑토의 리본(1, 50%)",3,수작업(LV.1) | 채집(LV.1) | 운반(LV.1),3,반짝이는 미소 핑토 | 핑토,2,"핑토(Lv. 13–14, 1_7_plain_Pekodon) | 핑토(Lv. 7–11, 1_13_plain_PinkRabbit)",2
