id,name,englishName,description,type1,type2,hp,attack,defense,rarity,size,foodAmount,partnerSkill,work1,work2,work3,activeSkills,dropItem1,dropItem2,eggType,imageFile
81,켈시,,태어난 장소의 수질에 따라 성격이 달라진다. 더러운 웅덩이에서 태어난 켈시은(는) 대체로 성격이 나쁘고 흉악하기 일쑤다.,물,용,81,70,100,1,XS,7,,"관개 Lv1, 목장 Lv1",,,,축축한 알,,축축한 알,81_menu.webp
82,아주리비,BlueDragon,새하얀 띠는 불순한 물에 닿아 시커멓게 변색한다. 독성 확인에 유용하다고 남획된 터라 지금도 인간을 안 좋게 생각한다.,물,용,82,110,70,1,L,7,,관개 Lv3,,,,축축한 대형 알,천,축축한 대형 알,82_menu.webp
83,백랑이,WhiteTiger,단단한 발톱으로 험한 산도 즐겁게 오른다. 하지만 다리가 짧아 하산이 힘들어 종종 높은 곳에서 이러지도 저러지도 못한다.,얼음,용,83,100,140,1,L,7,"수작업 Lv1, 벌목 Lv2, 냉각 Lv3, 운반 Lv3","수작업 Lv1, 벌목 Lv2, 냉각 Lv3, 운반 Lv3",,,,얼어붙은 대형 알,빙결 기관,얼어붙은 대형 알,83_menu.webp
84,만티파이어,Manticore,생고기를 좋아하지만 항상 익힌 고기를 먹는다. 타오르는 발톱을 무기로 삼은 탓에 잡은 먹이가 바싹 익어버린다는 것을 깨닫지 못했기 때문이다.,화염,풀,84,105,100,1,L,7,,"불 피우기 Lv3, 벌목 Lv2",,,,열기 나는 대형 알,발화 기관,열기 나는 대형 알,84_menu.webp
85,헤로롱,LazyDragon,어리바리한 겉모습과 달리 속은 사납다. 눈에 띄는 모든 걸 먹이로 인식하여 닥치는 대로 잡아먹으려고 든다.,물,용,85,44,110,1,XL,8,관개 Lv2|운반 Lv1,관개 Lv2|운반 Lv1,,,,용의 거대한 알,,용의 거대한 알,85_menu.webp
86,라브라돈,SakuraSaurus,교미 전후로 체취가 크게 달라진다. 파트너를 발견한 뒤엔 좋은 향기가 나 '첫사랑의 향기'라고 불린다.,풀,,86,120,80,19,XL,1,,파종 Lv3,,,,신록의 대형 알,라브라돈의 공룡고기토마토 씨감자 종자,신록의 대형 알,86_menu.webp
87,플로리나,FlowerDoll,수명이 다하면 큰 식물로 변한다. 10년에 한 번 아주 예쁜 꽃을 피우며 거기서 새 플로리나가 자란다.,물,풀,87,100,100,1,M,8,파종 Lv3|수작업 Lv2|채집 Lv2|제약 Lv2|운반 Lv1,파종 Lv3|수작업 Lv2|채집 Lv2|제약 Lv2|운반 Lv1,,,,신록의 거대한 알,,신록의 거대한 알,87_menu.webp
88,볼카노,VolcanicMonster,마그마 같은 피가 전신에 힘차게 흐르고 있다. 물을 흠뻑 끼얹으면 순식간에 가열돼 엄청난 수증기 폭발이 발생한다.,화염,물,88,32,110,1,L,6,,불 피우기 Lv3|채굴 Lv3,,,,열기 나는 대형 알,발화 기관,열기 나는 대형 알,88_menu.webp
89,킹파카,KingAlpaca,멜파카의 시중을 받는다. 킹파카끼리 결투로 서열을 정한다. 혼자인 개체는 패배한 녀석이다.,풀,번개,89,120,100,8,XL,7,채집 Lv1,채집 Lv1,,,,평범하고 거대한 알,양털,평범하고 거대한 알,89_menu.webp
90,그린모스,GrassMammoth,등에 있는 식물은 개체마다 제각각이다. 관상용으로 익숙한 역사도 있으며 그린모스 전문 정원사마저 존재했다.,물,풀,90,150,100,8,XL,7,,파종 Lv2|벌목 Lv2|채굴 Lv2,,,,신록의 거대한 알,고급 팰 기름가죽그린모스의 거대 고기,신록의 거대한 알,90_menu.webp
91,움포,,정체를 밝혀내려고 연구자가 털을 깎았지만 애초부터 안엔 아무것도 없었다는 듯 털만 남아 있었다.,풀,얼음,91,44,140,7,L,8,수작업 Lv2|벌목 Lv3|냉각 Lv2|운반 Lv4,수작업 Lv2|벌목 Lv3|냉각 Lv2|운반 Lv4,,,,얼어붙은 대형 알,빙결 기관예쁜 꽃,얼어붙은 대형 알,91_menu.webp
92,장수벌레,HerculesBeetle,전신을 감싸는 초강력 장갑은 압도적인 강도와 내열성을 자랑한다. 네이팜탄마저 거의 효과를 못 본다.,화염,풀,92,120,100,8,L,7,파종 Lv1|수작업 Lv1|벌목 Lv3|운반 Lv3,파종 Lv1|수작업 Lv1|벌목 Lv3|운반 Lv3,,,,거친 느낌의 거대한 알,,거친 느낌의 거대한 알,92_menu.webp
93,윈드디어,FengyunDeeper,"""먼 옛날, 그 아름다움 덕에 그림의 소재가 된 친근한 존재였다. 시대가 흐르며 아름다운 털가죽과 뿔도 예술품의 재료가 되어 일상적인 존재가 됐다.""",물,,93,110,110,1,S,3,,벌목 Lv2,,,,평범한 알,가죽  뿔,평범한 알,93_menu.webp
94,블러드캐티,CatVampire,어둠 속에서 먹잇감을 습격해 망토 같은 날개로 가둬 버린다. 안에서 무슨 일이 벌어지는지 날개 안이 왜 시뻘건지는 모르는 게 약이다.,화염,물,94,100,100,1,M,6,,제약 Lv3,,,,암흑의 대형 알,천 - 작은 팰 영혼,암흑의 대형 알,94_menu.webp
95,페스키,SkyDragon,페스키을(를) 껴안고 자면 천국에 온 듯한 기분이나 잠버릇이 험한 개체와 자면 깔려 죽어서 천국으로 직행이다.,물,용,95,36,105,1,L,7,"수작업 Lv1, 채집 Lv2, 채굴 Lv2, 운반 Lv3","수작업 Lv1, 채집 Lv2, 채굴 Lv2, 운반 Lv3",,,,천공용의 자애,용의 대형 알,용의 대형 알,95_menu.webp
96,마그마 카이저,KingBahamut,화산 분화와 함께 태어났다는 전설이 있다. 이 대지는 거대한 마그마 카이저의 등이라고 주장하는 괴상한 단체도 있었다.,화염,,96,40,100,1,XL,9,,"불 피우기 Lv3, 채굴 Lv4",,,,열기 나는 거대한 알,석탄  발화 기관,열기 나는 거대한 알,96_menu.webp
97,헬가루다,HadesBird,지옥에서 번개를 불러낸다. 헬가루다의 번개에 맞아 불타 죽으면 그 혼은 지옥에 떨어진다.,화염,번개,97,33,100,1,L,7,운반 Lv3,운반 Lv3,,,,암흑의 대형 알,,암흑의 대형 알,97_menu.webp
98,라바드래곤,BlackMetalDragon,"""심연에서 온 난폭한 존재. 그대, 이 용 앞에 서지 말지어다. 그대, 이 용의 울음에 귀를 막을지어다.""",화염,어둠,98,47,100,1,XL,9,,수작업 Lv1|채굴 Lv4,,,,용의 거대한 알,팰 금속 주괴 -개 순수한 석영 -개,용의 거대한 알,98_menu.webp
99,데스 스팅,DarkScorpion,본체는 에너지 덩어리로 속이 비었다. 산 채로 먹잇감 속으로 스며들어 흡수한다. 주변엔 지옥 같은 신음이 끝없이 울려 퍼진다.,번개,땅,99,100,100,1,L,9,,벌목 Lv2|채굴 Lv3,,,,암흑의 거대한 알,,암흑의 거대한 알,99_menu.webp
100,아누비스,,그 풍모 덕택에 일찍이 고귀한 자의 상징이었다. 부와 권력을 멀리하는 이에게도 귀감이었으나 언제부턴가 아누비스는 죽음의 상징이 되었다.,땅,,100,120,130,1,M,10,수작업 Lv4|채굴 Lv3|운반 Lv2,수작업 Lv4|채굴 Lv3|운반 Lv2,,,,거친 느낌의 거대한 알,,거친 느낌의 거대한 알,100_menu.webp
101,레비드라,Umihebi,억울한 누명으로 소용돌이치는 물속에 떨어진 현자가 레비드라(으)로 환생하여 나라를 멸망시켰다는 전설이 있다.,물,용,101,39,130,1,XL,8,,관개 Lv4,,,,용의 거대한 알,,용의 거대한 알,101_menu.webp
102,주작,,옛날에는 건기를 불러오는 존재로 여겨졌다. 지난 해에 가물었다면 다음 해의 풍작을 기원하며 이 녀석을 집요하게 사냥하곤 했다.,화염,물,102,41,120,1,XL,8,,불 피우기 Lv3,,,,열기 나는 거대한 알,발화 기관,열기 나는 거대한 알,102_menu.webp
103,일렉판다,ElecPanda,호쾌한 얼굴에 듬직한 체구를 가졌으며 친구로 인정한 상대에겐 순종적이다. 하지만 어쩐 일인지 미니건만 맡기면 돌변한다.,번개,,103,40,105,1,L,8,발전 Lv3|수작업 Lv2|벌목 Lv2|운반 Lv3,발전 Lv3|수작업 Lv2|벌목 Lv2|운반 Lv3,,,,찌릿찌릿한 거대한 알,발전 기관가죽,찌릿찌릿한 거대한 알,103_menu.webp
104,릴린,LilyQueen,자애심으로 가득한 온화한 팰. 부모를 잃은 어린 팰들을 돌봐주고 있다. 버릇은 전력으로 쏘는 태양 폭발.,물,풀,104,110,100,1,L,9,파종 Lv4|수작업 Lv3|채집 Lv2|제약 Lv3,파종 Lv4|수작업 Lv3|채집 Lv2|제약 Lv3,,,,신록의 거대한 알,,신록의 거대한 알,104_menu.webp
105,호루스,,먹잇감 무리를 발견하면 작열하는 회오리바람으로 주변 일대를 불바다로 만든다. 호루스의 서식지는 감미로운 향기가 난다.,화염,얼음,105,38,100,1,L,9,불 피우기 Lv3|운반 Lv3,불 피우기 Lv3|운반 Lv3,,,,열기 나는 거대한 알,발화 기관,열기 나는 거대한 알,105_menu.webp
106,전룡맨,ThunderDragonMan,상처로 전류를 흘려보내 상대의 몸을 불태운다. 전룡맨끼리 싸우면 순식간에 승부가 난다.,물,번개,106,100,100,1,L,9,발전 Lv4|수작업 Lv2|운반 Lv3,발전 Lv4|수작업 Lv2|운반 Lv3,,,,용의 거대한 알,발전 기관,용의 거대한 알,106_menu.webp
107,제노그리프,BlackGriffon,광기 끝에 태어난 금기의 존재. 다른 팰과 유전적 연관성이 사라진 상태이며 팰의 범주에서 벗어나 버렸는지도 모른다.,화염,어둠,107,47,120,1,L,10,채집 Lv1,채집 Lv1,,,,암흑의 거대한 알,팰 금속 주괴카본 섬유혁신적인 기술서,암흑의 거대한 알,107_menu.webp
108,팔라디우스,SaintCentaur,원래 켄타나이트의 일종이었다. 나쁜 감정을 제거한 존재로 여겨지나 눈동자 속에선 일말의 증오가 번뜩인다.,얼음,,108,49,130,1,L,9,,벌목 Lv2|채굴 Lv2,,,,평범하고 거대한 알,전설성천,평범하고 거대한 알,108_menu.webp
109,켄타나이트,BlackCentaur,원래 팔라디우스의 일종이었다. 나쁜 감정만 분리된 듯한 모습이지만 눈동자 속에는 일말의 자비가 반짝인다.,화염,어둠,109,49,130,1,L,9,,벌목 Lv2|채굴 Lv2,,,,암흑의 거대한 알,팰 금속 주괴대형 팰 영혼,암흑의 거대한 알,109_menu.webp
110,빙천마,IceHorse,겨울을 불러오는 팰파고스섬의 수호신. 일찍이 재앙이 이 땅을 석권할 때 하늘을 가로지르며 끝나지 않는 겨울을 불러와 이를 봉인했다.,얼음,땅,110,48,140,1,L,9,,냉각 Lv4,,,,빙천마,빙천마,얼어붙은 거대한 알,110_menu.webp
110B,그레이섀도우,IceHorse_Dark,밤을 불러오는 팰파고스섬의 수호신. 일찍이 재앙이 이 땅을 석권할 때 하늘을 가로지르며 끝나지 않는 어둠을 불러와 이를 봉인했다.,화염,땅,48,140,100,1,L,9,채집 Lv4,채집 Lv4,,,,흑천마,암흑의 거대한 알,암흑의 거대한 알,110B_menu.webp
111,제트래곤,JetDragon,팰파고스섬을 저 먼 하늘에서 굽어본다. 재앙이 다시 눈을 떠 대지를 가르고 하늘을 불태울 때 완전한 파멸의 섬광으로 이를 파괴하리라.,화염,용,111,50,110,1,XL,9,채집 Lv3,채집 Lv3,,,,용의 거대한 알,순수한 석영폴리머카본 섬유다이아몬드,용의 거대한 알,111_menu.webp
112,벨라누아르,NightLady,"""존재도 없이, 그저 조용히 세계를 바라볼 뿐이었다. 언제부터인가, 누군가의 시선을 갈망하게 됐다. 외부 세계를 적대시하던 욕망의 덩어리는 광란의 숙녀라고 정의되었다.""",화염,어둠,112,120,100,1,M,7,수작업 Lv2|제약 Lv4|운반 Lv2,수작업 Lv2|제약 Lv4|운반 Lv2,,,,암흑의 거대한 알,,암흑의 거대한 알,112_menu.webp
113,셀레문,MoonQueen,"""등 뒤에 떠다니는 달처럼 생긴 물체는 세대를 거듭할 때마다 아주 조금씩 원형에 가까워진다고 한다. 그 달이 완전히 찼을 때 무슨 일이 벌어질지는, 아무도 모른다.""",무속성,물,113,53,130,1,L,9,수작업 Lv4|제약 Lv3|운반 Lv3,수작업 Lv4|제약 Lv3|운반 Lv3,,,,암흑의 거대한 알,천 사파이어 귀중한 발톱,암흑의 거대한 알,113_menu.webp
114,칼구리,KendoFrog,무리 중에서도 큰 실수를 범한 녀석은 자결을 강요받는다. 한계까지 부푼 소리 주머니에 나뭇가지를 찌르면 대기권 반대편까지 날아가 저승으로 돌아간다.,물,풀,114,80,150,1,XS,4,관개 Lv1|수작업 Lv1|채집 Lv1|운반 Lv1,관개 Lv1|수작업 Lv1|채집 Lv1|운반 Lv1,,,,축축한 알,팰의 체액 천,축축한 알,114_menu.webp
115,뷰티플라워,LeafPrincess,봄이 다가오면 바람을 타고 섬에 꽃가루가 휘날린다. 토푸리의 꽃가루 알레르기는 뷰티플라워 때문에 발생한다.,물,풀,115,90,150,1,S,4,파종 Lv2|수작업 Lv2|채집 Lv1|제약 Lv2,파종 Lv2|수작업 Lv2|채집 Lv1|제약 Lv2,,,,신록의 알,예쁜 꽃 빨간 열매,신록의 알,115_menu.webp
86B,스프라돈,Broncherry_Aqua,Broncherry_Aqua,물,풀,70,70,70,1,M,2,,,,,,[{name: 라브라돈의 공룡고기,,,86B_menu.webp
89B,블루파카,Kingpaca_Cryst,Kingpaca_Cryst,물,풀,70,70,70,1,M,2,[{type: 채집,,,,,[{name: 양털,{name: 빙결 기관,,89B_menu.webp
90B,블리자모스,Mammorest_Cryst,Mammorest_Cryst,물,얼음,70,70,70,1,M,2,,,,,,{name: 가죽,,,90B_menu.webp
80B,실티아,Elphidran_Aqua,Elphidran_Aqua,물,용,70,70,70,1,M,2,,,,,,,,,80B_menu.webp
86B,스프라돈,Broncherry_Aqua,Broncherry_Aqua,물,풀,70,70,70,1,M,2,,,,,,[{name: 라브라돈의 공룡고기,,,86B_menu.webp
89B,블루파카,Kingpaca_Cryst,Kingpaca_Cryst,물,풀,70,70,70,1,M,2,[{type: 채집,,,,,[{name: 양털,{name: 빙결 기관,,89B_menu.webp
90B,블리자모스,Mammorest_Cryst,Mammorest_Cryst,물,얼음,70,70,70,1,M,2,,,,,,{name: 가죽,,,90B_menu.webp
95B,포레스키,Quivern_Botan,Quivern_Botan,풀,용,70,70,70,1,M,2,{type: 채집,,,,,씨앗 기관총,,,95B_menu.webp
101B,아그니드라,Jormuntide_Ignis,Jormuntide_Ignis,화염,용,70,70,70,1,M,2,,,,,,{name: 발화 기관,,,101B_menu.webp
102B,시바,Suzaku_Aqua,Suzaku_Aqua,물,얼음,70,70,70,1,M,2,,,,,,,,,102B_menu.webp
105B,이시스,Faleris_Aqua,Faleris_Aqua,화염,물,70,70,70,1,M,2,{type: 운반,,,,,,,,105B_menu.webp
40B,아비스고트,Baphomet_Dark,어린 팰만 노려 자기 구역에 데리고 간다. 아이를 빼앗긴 부모 팰이 얼마나 절망에 빠졌을지 상상도 안 된다,화염,어둠,95,150,105,1,M,5,수작업 Lv2;채굴 Lv1;운반 Lv2,수작업 Lv2;채굴 Lv1;운반 Lv2,,,파이어 샷; 스피릿 파이어; 불화살; 지옥불 할퀴기; 그림자 폭발,암흑의 대형 알,뿔 ;가죽,암흑의 대형 알,40B_menu.webp
58B,사라블랙,FireKirin_Dark,정체불명의 암흑 물질을 태워 에너지로 삼으며 남은 어둠의 입자를 전신에서 방출한다. 누군가 탑승하면 그가 어둠에 물들지 않도록 눈치 있게 배려하는 면도 있다,화염,물,34,100,110,1,L,7,,불 피우기 Lv2;벌목 Lv1,,,파이어 샷; 그림자 폭발; 파이어 브레스; 유령의 불꽃; 어둠의 돌격,열기 나는 대형 알,발화 기관 -;가죽 -,열기 나는 대형 알,58B_menu.webp
85B,핑피롱,LazyDragon_Electric,헤로롱은 생각했다. 슬슬 자신을 바꿀 때라고. 그 순간 전신에 전기가 흘렀다!,번개,용,46,110,110,1,XL,9,발전 Lv3;운반 Lv1,발전 Lv3;운반 Lv1,,,스파크 샷; 용 대포; 전기 파장; 라인 썬더; 용의 숨결,용의 거대한 알,고급 팰 기름 -;발전 기관 -;사파이어,용의 거대한 알,85B_menu.webp
99B,골드 스팅,DarkScorpion_Ground,본체는 에너지 덩어리로 속이 비었다. 토사나 광물을 외피 속에 채워 압도적인 질량을 보여준다. 공격한 상대는 지옥 같은 신음을 내지를 수밖에 없다,물,번개,100,100,105,1,L,10,,벌목 Lv2;채굴 Lv3,,,모래 돌풍; 바위 폭발; 바위 대포; 모래 폭풍; 점프 찌르기,거친 느낌의 거대한 알,원유 ;발화 기관 -,거친 느낌의 거대한 알,99B_menu.webp
108,팔라디우스,SaintCentaur,원래 켄타나이트의 일종이었다. 나쁜 감정을 제거한 존재로 여겨지나 눈동자 속에선 일말의 증오가 번뜩인다,무속성,얼음,108,49,130,1,L,9,,벌목 Lv2;채굴 Lv2,,,파워 샷; 얼음 미사일; 빙산; 파워 폭탄; 눈보라 스파이크,평범하고 거대한 알,전설;성천,평범하고 거대한 알,108_menu.webp
112,벨라누아르,NightLady,존재도 없이 그저 조용히 세계를 바라볼 뿐이었다. 언제부터인가 누군가의 시선을 갈망하게 됐다. 외부 세계를 적대시하던 욕망의 덩어리는 광란의 숙녀라고 정의되었다,화염,어둠,112,120,100,1,M,10,수작업 Lv2;제약 Lv4;운반 Lv2,수작업 Lv2;제약 Lv4;운반 Lv2,,,어둠 대포; 어둠 파장; 어둠 화살; 유령의 불꽃; 악몽의 구체,암흑의 거대한 알,,암흑의 거대한 알,112_menu.webp
112B,벨라루주,NightLady_Dark,풀려난 욕망은 끝내 가라앉지 못했다. 나를 바라보는 나를 갈망했다. 외부 세계를 적대시하던 응시하는 자매는 결국 구석까지 내몰린 채 서서히 눈을 감게 되었다,화염,풀,120,100,150,1,M,10,수작업 Lv2;제약 Lv4;운반 Lv2,수작업 Lv2;제약 Lv4;운반 Lv2,,,어둠 대포; 어둠 파장; 어둠 화살; 악몽의 구체; 아포칼립스,암흑의 거대한 알,,암흑의 거대한 알,112B_menu.webp
113,셀레문,MoonQueen,등 뒤에 떠다니는 달처럼 생긴 물체는 세대를 거듭할 때마다 아주 조금씩 원형에 가까워진다고 한다. 그 달이 완전히 찼을 때 무슨 일이 벌어질지는 아무도 모른다,무속성,물,113,53,130,1,L,9,수작업 Lv4;제약 Lv3;운반 Lv3,수작업 Lv4;제약 Lv3;운반 Lv3,,,어둠 대포; 어둠 화살; 에어 블레이드; 신성 폭발; 청월의 칼날,암흑의 거대한 알,천 -;사파이어 -;귀중한 발톱,암흑의 거대한 알,113_menu.webp
